iter	RMSE
0	0.4600149573
1	0.4472767428
2	0.4352859392
3	0.4243421604
4	0.4141262621
5	0.4039966625
6	0.3951329356
7	0.3874040038
8	0.3793847182
9	0.3719280513
10	0.3645065836
11	0.3584516011
12	0.3523839049
13	0.3470569603
14	0.3417677001
15	0.3371707976
16	0.3321295248
17	0.3277872368
18	0.3232082495
19	0.3191713202
20	0.3154018849
21	0.3120583474
22	0.3089257274
23	0.3059116405
24	0.3028991378
25	0.3002667549
26	0.2976125532
27	0.2951060192
28	0.2929113434
29	0.2907692086
30	0.2885754302
31	0.2863394957
32	0.284394739
33	0.2825368439
34	0.2807851859
35	0.2789030081
36	0.2773871362
37	0.275916368
38	0.2746023483
39	0.2733453069
40	0.2720820934
41	0.2709023678
42	0.2696458812
43	0.2685589662
44	0.2674979384
45	0.2665480914
46	0.2655315737
47	0.2645130812
48	0.2634797975
49	0.2625831051
50	0.2615986602
51	0.2607423921
52	0.259696642
53	0.258932673
54	0.2582103546
55	0.2574760803
56	0.2567777192
57	0.2560773098
58	0.2553190719
59	0.2546343676
60	0.2541325875
61	0.2535609442
62	0.2530235391
63	0.2524335799
64	0.2518941953
65	0.2511997566
66	0.2506403557
67	0.250063157
68	0.2494976072
69	0.248936581
70	0.2484206013
71	0.247872268
72	0.2473277457
73	0.2469358057
74	0.2465199709
75	0.245989192
76	0.2455064466
77	0.245045403
78	0.2447278802
79	0.2442832692
80	0.2438152688
81	0.2434289609
82	0.2431392651
83	0.2427992759
84	0.2423578233
85	0.2420582534
86	0.2417100465
87	0.2413550296
88	0.2410005889
89	0.2406718744
90	0.2403767387
91	0.2400673109
92	0.23974508
93	0.2393820664
94	0.2390665315
95	0.2387791808
96	0.2385202201
97	0.2382610121
98	0.2380289706
99	0.2376923063
100	0.2374413529
101	0.2372162929
102	0.2369937901
103	0.2367718315
104	0.2365195509
105	0.2359752951
106	0.2357416514
107	0.2354585019
108	0.2351887778
109	0.2349422985
110	0.234751598
111	0.2345393082
112	0.2343408962
113	0.2341430352
114	0.2339056513
115	0.2337292925
116	0.2335070308
117	0.2333239682
118	0.2331554403
119	0.2329651482
120	0.232779094
121	0.2325530881
122	0.2323559847
123	0.2321935738
124	0.232033576
125	0.231862381
126	0.2316978864
127	0.231532242
128	0.2313248125
129	0.231197436
130	0.2310393013
131	0.2308914328
132	0.2307407077
133	0.2306177238
134	0.2304571692
135	0.2300923255
136	0.2299499864
137	0.2298239828
138	0.2296886779
139	0.2295947314
140	0.2294847691
141	0.2293599816
142	0.2292286298
143	0.229091185
144	0.2289726197
145	0.2288391929
146	0.2287351091
147	0.2285754798
148	0.2284549669
149	0.2283500815
150	0.2282581704
151	0.2281044197
152	0.2279633806
153	0.2278571441
154	0.2277604173
155	0.2276412673
156	0.2275319438
157	0.2273952392
158	0.2273004519
159	0.2272017492
160	0.2270748486
161	0.2269853973
162	0.2268985069
163	0.2267918534
164	0.2265548232
165	0.2264489282
166	0.2263828059
167	0.2262998758
168	0.2261905071
169	0.2260708081
170	0.2260033569
171	0.2259172432
172	0.2257842039
173	0.225694154
174	0.2255975512
175	0.2255209639
176	0.2254265015
177	0.22531294
178	0.225226282
179	0.2251469505
180	0.2250649035
181	0.2249886102
182	0.2248859004
183	0.224792821
184	0.2246961699
185	0.2246211993
186	0.2245320647
187	0.2243789699
188	0.2243022718
189	0.2242071146
190	0.2241348282
191	0.2240598073
192	0.2239723485
193	0.223918853
194	0.2238421939
195	0.2237334183
196	0.2235746318
197	0.2235037089
198	0.2234096147
199	0.2233408997
200	0.2232756107
201	0.2231046114
202	0.2230337361
203	0.2229516221
204	0.2228953625
205	0.2228245716
206	0.2227529727
207	0.2226485368
208	0.2225774531
209	0.2225160968
210	0.222447667
211	0.2222636029
212	0.2221858729
213	0.2220674155
214	0.2219764623
215	0.2219095512
216	0.2218252602
217	0.2217502225
218	0.2216690946
219	0.221561665
220	0.2214869346
221	0.2214123723
222	0.2213591584
223	0.2213021133
224	0.2212367248
225	0.2211897397
226	0.2211341301
227	0.2210653936
228	0.2208945589
229	0.2207766475
230	0.2207272923
231	0.2206576428
232	0.2205679399
233	0.2204966639
234	0.2204226496
235	0.2203744705
236	0.2203245154
237	0.2202701472
238	0.2201604405
239	0.2200956915
240	0.2200216625
241	0.2199605541
242	0.219899512
243	0.2198356823
244	0.2197256995
245	0.2196684302
246	0.2196013259
247	0.2195557485
248	0.2194816446
249	0.2194392445
250	0.2193963603
251	0.2193390368
252	0.2192899912
253	0.2192173406
254	0.2191522444
255	0.219095727
256	0.219022052
257	0.2189626034
258	0.2188958569
259	0.2188494118
260	0.2188028207
261	0.2187378278
262	0.2186814568
263	0.2186215033
264	0.2185445809
265	0.2184307588
266	0.2183848698
267	0.2183370021
268	0.2182754201
269	0.2182118241
270	0.2181659261
271	0.2181049727
272	0.2180703129
273	0.2180064559
274	0.2179443806
275	0.2178691027
276	0.2178053326
277	0.2177589828
278	0.2177068543
279	0.2176517474
280	0.2175990925
281	0.217554751
282	0.2175015529
283	0.2174094299
284	0.2173710055
285	0.2173379342
286	0.2172802994
287	0.2172350667
288	0.2171813324
289	0.217144881
290	0.2170943488
291	0.2170390182
292	0.2169861291
293	0.2169424564
294	0.2169013993
295	0.2168426962
296	0.2167836737
297	0.2167505297
298	0.2166902036
299	0.2166545998
