iter	Passed	Remaining
0	15	4773
1	33	4953
2	51	5114
3	68	5048
4	81	4823
5	96	4740
6	114	4790
7	129	4742
8	145	4705
9	160	4647
10	176	4634
11	193	4635
12	209	4629
13	226	4635
14	244	4638
15	260	4616
16	273	4559
17	289	4539
18	307	4549
19	323	4525
20	337	4483
21	355	4492
22	374	4506
23	390	4488
24	408	4494
25	426	4489
26	444	4496
27	462	4495
28	480	4491
29	498	4485
30	517	4487
31	535	4483
32	553	4474
33	569	4459
34	587	4446
35	605	4437
36	622	4425
37	635	4381
38	650	4353
39	666	4333
40	684	4323
41	700	4305
42	716	4284
43	735	4279
44	752	4261
45	765	4227
46	780	4200
47	794	4171
48	805	4123
49	816	4083
50	834	4072
51	853	4069
52	871	4061
53	889	4051
54	907	4042
55	926	4036
56	943	4022
57	955	3985
58	969	3961
59	987	3951
60	1004	3934
61	1021	3921
62	1038	3908
63	1056	3897
64	1075	3889
65	1094	3881
66	1112	3868
67	1130	3856
68	1149	3846
69	1168	3838
70	1187	3828
71	1204	3814
72	1221	3797
73	1233	3766
74	1242	3728
75	1257	3706
76	1275	3692
77	1292	3679
78	1308	3661
79	1327	3650
80	1346	3639
81	1362	3621
82	1380	3610
83	1394	3584
84	1404	3553
85	1422	3539
86	1440	3527
87	1460	3518
88	1480	3510
89	1499	3498
90	1515	3481
91	1534	3469
92	1554	3459
93	1573	3448
94	1592	3436
95	1611	3423
96	1629	3409
97	1643	3387
98	1657	3365
99	1674	3349
100	1695	3340
101	1714	3328
102	1733	3315
103	1750	3299
104	1769	3286
105	1787	3272
106	1806	3258
107	1817	3231
108	1830	3206
109	1848	3193
110	1869	3182
111	1888	3170
112	1907	3156
113	1926	3143
114	1945	3130
115	1963	3114
116	1980	3097
117	1997	3080
118	2008	3054
119	2018	3027
120	2028	3001
121	2042	2979
122	2057	2960
123	2068	2936
124	2080	2913
125	2093	2891
126	2111	2876
127	2128	2860
128	2146	2844
129	2163	2828
130	2182	2815
131	2201	2801
132	2219	2786
133	2237	2771
134	2255	2756
135	2273	2742
136	2308	2746
137	2340	2747
138	2371	2747
139	2395	2737
140	2414	2722
141	2434	2708
142	2454	2695
143	2474	2680
144	2494	2666
145	2512	2649
146	2525	2628
147	2538	2607
148	2559	2593
149	2578	2578
150	2597	2563
151	2614	2546
152	2632	2529
153	2648	2510
154	2668	2496
155	2689	2482
156	2708	2467
157	2728	2452
158	2746	2435
159	2764	2418
160	2776	2397
161	2788	2375
162	2803	2356
163	2822	2340
164	2841	2324
165	2859	2308
166	2882	2295
167	2901	2279
168	2915	2259
169	2926	2237
170	2938	2216
171	2948	2194
172	2959	2172
173	2972	2152
174	2984	2132
175	2997	2111
176	3018	2097
177	3037	2081
178	3056	2066
179	3073	2049
180	3091	2032
181	3111	2017
182	3130	2001
183	3149	1985
184	3169	1970
185	3188	1954
186	3207	1938
187	3228	1923
188	3243	1904
189	3256	1885
190	3272	1867
191	3287	1849
192	3300	1829
193	3313	1810
194	3333	1795
195	3353	1779
196	3374	1764
197	3393	1748
198	3408	1730
199	3419	1709
200	3429	1689
201	3440	1669
202	3456	1651
203	3475	1635
204	3494	1619
205	3513	1603
206	3534	1587
207	3550	1570
208	3564	1551
209	3573	1531
210	3582	1511
211	3592	1491
212	3601	1470
213	3610	1450
214	3619	1430
215	3628	1411
216	3637	1391
217	3646	1371
218	3656	1352
219	3665	1332
220	3675	1313
221	3686	1295
222	3695	1275
223	3704	1256
224	3714	1238
225	3722	1219
226	3732	1200
227	3743	1182
228	3755	1164
229	3766	1146
230	3777	1128
231	3788	1110
232	3803	1093
233	3818	1076
234	3832	1060
235	3849	1044
236	3866	1027
237	3881	1011
238	3897	994
239	3911	977
240	3922	960
241	3932	942
242	3944	925
243	3955	907
244	3966	890
245	3976	872
246	3986	855
247	3996	837
248	4005	820
249	4016	803
250	4025	785
251	4035	768
252	4045	751
253	4056	734
254	4066	717
255	4076	700
256	4086	683
257	4096	666
258	4106	649
259	4115	633
260	4126	616
261	4137	600
262	4157	584
263	4170	568
264	4183	552
265	4194	536
266	4204	519
267	4214	503
268	4226	487
269	4236	470
270	4247	454
271	4258	438
272	4268	422
273	4279	406
274	4290	390
275	4300	373
276	4310	357
277	4321	341
278	4331	325
279	4341	310
280	4352	294
281	4362	278
282	4374	262
283	4384	247
284	4394	231
285	4405	215
286	4415	200
287	4425	184
288	4436	168
289	4456	153
290	4478	138
291	4498	123
292	4511	107
293	4523	92
294	4534	76
295	4545	61
296	4555	46
297	4566	30
298	4575	15
299	4585	0
