PolicyId,PrimeCommercialePred
90161646.100a,560.5546915411887
90146211.102b,320.20723993864243
90168719.100a,179.94143939343923
90132211.100a,859.4130143183323
1000755.10a,369.9771082868101
90126018.101b,197.56825078377017
1003307.101b,268.6352825797969
90149033.100a,404.04538345687905
90152955.100b,267.20798525165657
90178374.100a,221.16243700590246
90118502.101b,306.40819483101205
90156496.101a,436.7780142991677
90170782.100a,255.04432742687294
80200751.101a,212.2197223927914
90167713.100a,395.78448919557326
90152888.100b,423.20527562130695
90187783.101a,392.31642071695023
90159674.100a,409.14597908111017
90123958.102a,255.94201411823582
90194224.100c,878.5608511658496
90148491.100a,251.3271739378458
90128392.101b,438.77857796751385
38.102a,473.96518916121795
90169255.100b,631.5307583532198
90104050.101a,337.6232719611975
90117852.101b,216.3390841962995
90190501.100a,444.5426420071971
90116490.101b,346.2100201220423
90150436.100b,374.25230012467307
90148862.100a,361.07175606164884
90127296.100b,367.2649093356024
90132824.102a,220.20418393828234
90147885.101a,556.2555659535248
90103517.10a,117.80906536720043
90150214.100a,437.7980191322785
90165918.100a,492.77364216365044
90128405.101a,529.3374930398353
30200043.10b,127.08152783813452
90159027.100c,328.3922954290777
90111865.101c,458.7138255722413
90106383.101a,563.9933042846287
90129763.101a,319.58665759972405
90185509.100c,508.6403401336005
90141631.103a,386.56858414920697
90125682.101c,362.8446059185144
90173860.100a,180.54416673500992
90145083.100a,213.46116504414576
90151846.100b,365.37717695831844
90131595.100b,302.9286730742482
10200036.101b,398.4243351471621
90144602.100a,367.7975986363956
90134604.100c,228.4960602593371
90149085.101a,412.4000836658089
90149043.100a,357.13740287463634
90180511.100a,514.8521620555812
90158802.100a,629.5847682576631
90175869.100c,503.5672429762768
90194883.100a,588.2999234665255
90177911.100c,308.71775968243276
90136866.101a,290.3065054381732
90146364.100c,445.47663726109215
90175956.100a,331.4308734277835
90133987.100a,314.10118469723307
90144726.101a,503.7841298727565
90132365.100a,259.77025815617054
90171036.100a,293.47938711272013
90141592.101a,201.2049037575985
90166348.101a,716.9086078408255
90159947.101a,553.8107249601151
90113338.101b,591.314519140782
90153312.100b,371.11399915238013
90107964.10a,252.94774085441583
80200126.10b,383.81793330060947
90168730.100a,505.88180543186456
1003473.100a,212.87941850723794
90130920.100b,398.74063667472524
90138983.100a,424.12278184107856
90141279.100a,624.7620689171978
90146514.100b,454.2656664923767
90172108.100b,460.00409310383293
90166976.100a,397.86821413406847
90117648.100b,312.21603293885886
90126360.100b,202.4957177355204
90153794.100b,292.1229996424746
80100089.101a,218.20331447054224
90145197.100a,535.7666747656547
90132267.100b,459.6205472858646
90158093.100c,586.2511920446178
90111252.10a,462.0580019669494
90132548.100c,555.3291627618067
90116963.100a,437.47809682180616
90170441.100a,294.66277847589447
90180040.100a,167.81905585973706
